  i                       counter                    sine_float                 sine_apFixed                   pulse_float                pulse_apFixed               increment_float            increment_apFixed

  0                             0                0.618034005165                0.00048828125                0.000000000000                            1                1.000000000000                            0
  1                             1                1.175570487976                 0.0009765625                0.000000000000                            1                2.000000000000                            0
  2                             2                1.618034005165                0.00146484375                0.000000000000                            1                3.000000000000                            0
  3                             3                1.902113080025               0.001708984375                0.000000000000                            1                4.000000000000                            0
  4                             4                2.000000000000               0.002197265625                0.000000000000                            1                5.000000000000                            0
  5                             5                1.902112960815               0.002685546875                0.000000000000                            1                6.000000000000                            0
  6                             6                1.618034005165               0.003173828125                0.000000000000                            1                7.000000000000                            0
  7                             7                1.175570368767               0.003662109375                0.000000000000                            1                8.000000000000                            0
  8                             8                0.618033587933               0.004150390625                0.000000000000                            1                9.000000000000                            0
  9                             9               -0.000000174846               0.004638671875                0.000000000000                            1               10.000000000000                            0
 10                            10               -0.618033945560               0.005126953125                0.000000000000                            1               11.000000000000                            0
 11                            11               -1.175570726395               0.005615234375                0.000000000000                            1               12.000000000000                            0
 12                            12               -1.618034243584               0.006103515625                0.000000000000                            1               13.000000000000                            0
 13                            13               -1.902112960815               0.006591796875                0.000000000000                            1               14.000000000000                            0
 14                            14               -2.000000000000               0.007080078125                0.000000000000                            1               15.000000000000                            0
 15                            15               -1.902112960815               0.007568359375                0.000000000000                            1               16.000000000000                            0
 16                            16               -1.618033647537               0.008056640625                0.000000000000                            1               17.000000000000                            0
 17                            17               -1.175569891930               0.008544921875                0.000000000000                            1               18.000000000000                            0
 18                            18               -0.618033885956               0.009033203125                0.000000000000                            1               19.000000000000                            0
 19                            19                0.000000349691               0.009521484375                0.000000000000                            1               20.000000000000                            0
 20                            20                0.618034541607               0.010009765625                0.000000000000                            1               21.000000000000                            0
 21                            21                1.175570487976               0.010498046875                0.000000000000                            1               22.000000000000                            0
 22                            22                1.618034124374               0.010986328125                0.000000000000                            1               23.000000000000                            0
 23                            23                1.902113199234               0.011474609375                0.000000000000                            1               24.000000000000                            0
 24                            24                2.000000000000               0.011962890625                0.000000000000                            1               25.000000000000                            0
 25                            25                1.902112722397               0.012451171875                0.000000000000                            1               26.000000000000                            0
 26                            26                1.618033289909               0.012939453125                0.000000000000                            1               27.000000000000                            0
 27                            27                1.175570845604               0.013427734375                0.000000000000                            1               28.000000000000                            0
 28                            28                0.618034183979               0.013916015625                0.000000000000                            1               29.000000000000                            0
 29                            29               -0.000000047700               0.014404296875                0.000000000000                            1               30.000000000000                            0
 30                            30               -0.618034303188               0.014892578125                0.000000000000                            1               31.000000000000                            0
 31                            31               -1.175570964813               0.015380859375                0.000000000000                            1               32.000000000000                            0
 32                            32               -1.618034482002               0.015869140625                0.000000000000                            1               33.000000000000                            0
 33                            33               -1.902113318443               0.016357421875                0.000000000000                            1               34.000000000000                            0
 34                            34               -2.000000000000               0.016845703125                0.000000000000                            1               35.000000000000                            0
 35                            35               -1.902112483978               0.017333984375                0.000000000000                            1               36.000000000000                            0
 36                            36               -1.618034005165               0.017822265625                0.000000000000                            1               37.000000000000                            0
 37                            37               -1.175570368767               0.018310546875                0.000000000000                            1               38.000000000000                            0
 38                            38               -0.618033587933               0.018798828125                0.000000000000                            1               39.000000000000                            0
 39                            39                0.000000699382               0.019287109375                0.000000000000                            1               40.000000000000                            0
 40                            40                0.618034899235               0.019775390625                0.000000000000                            1               41.000000000000                            0
 41                            41                1.175571441650               0.020263671875                0.000000000000                            1               42.000000000000                            0
 42                            42                1.618034839630               0.020751953125                0.000000000000                            1               43.000000000000                            0
 43                            43                1.902112960815               0.021240234375                0.000000000000                            1               44.000000000000                            0
 44                            44                2.000000000000               0.021728515625                0.000000000000                            1               45.000000000000                            0
 45                            45                1.902112960815               0.022216796875                0.000000000000                            1               46.000000000000                            0
 46                            46                1.618033647537               0.022705078125                0.000000000000                            1               47.000000000000                            0
 47                            47                1.175569772720               0.023193359375                0.000000000000                            1               48.000000000000                            0
 48                            48                0.618032932281               0.023681640625                0.000000000000                            1               49.000000000000                            0
 49                            49               -0.000001351065               0.024169921875                0.000000000000                            1               50.000000000000                            0
