C-Name;C-Pin;Module Net Name;FPGA Pin Name
J1;1;GND;---
J1;2;NetJ1_2;--
J1;3;NetJ1_3;--
J1;4;NetJ1_4;--
J1;5;NetJ1_5;--
J1;6;GND;---
J1;7;GND;---
J1;8;NetJ1_8;--
J1;9;NetJ1_9;--
J1;10;NetJ1_10;--
J1;11;NetJ1_11;--
J1;12;GND;---
J1;13;GND;---
J1;14;NetJ1_14;--
J1;15;NetJ1_15;--
J1;16;NetJ1_16;--
J1;17;NetJ1_17;--
J1;18;GND;---
J1;19;GND;---
J1;20;NetJ1_20;--
J1;21;NetJ1_21;--
J1;22;NetJ1_22;--
J1;23;NetJ1_23;--
J1;24;GND;---
J1;25;GND;---
J1;26;NetJ1_26;--
J1;27;NetJ1_27;--
J1;28;NetJ1_28;--
J1;29;NetJ1_29;--
J1;30;GND;---
J1;31;GND;---
J1;32;NetJ1_32;--
J1;33;NetJ1_33;--
J1;34;NetJ1_34;--
J1;35;NetJ1_35;--
J1;36;GND;---
J1;37;GND;---
J1;38;NetJ1_38;--
J1;39;NetJ1_39;--
J1;40;NetJ1_40;--
J1;41;NetJ1_41;--
J1;42;GND;---
J1;43;GND;---
J1;44;NetJ1_44;--
J1;45;NetJ1_45;--
J1;46;NetJ1_46;--
J1;47;NetJ1_47;--
J1;48;GND;---
J1;49;GND;---
J1;50;B224_TX3_P;N4
J1;51;B224_RX3_P;P2
J1;52;B224_TX3_N;N3
J1;53;B224_RX3_N;P1
J1;54;GND;---
J1;55;GND;---
J1;56;B224_TX2_P;R4
J1;57;B224_RX2_P;T2
J1;58;B224_TX2_N;R3
J1;59;B224_RX2_N;T1
J1;60;GND;---
J1;61;GND;---
J1;62;B224_TX1_P;U4
J1;63;B224_RX1_P;V2
J1;64;B224_TX1_N;U3
J1;65;B224_RX1_N;V1
J1;66;GND;---
J1;67;GND;---
J1;68;B224_TX0_P;W4
J1;69;B224_RX0_P;Y2
J1;70;B224_TX0_N;W3
J1;71;B224_RX0_N;Y1
J1;72;GND;---
J1;73;GND;---
J1;74;B66_L24_N;B9
J1;75;B66_L1_P;G1
J1;76;B66_L24_P;C9
J1;77;B66_L1_N;F1
J1;78;GND;---
J1;79;GND;---
J1;80;B66_L2_P;E1
J1;81;B66_L7_P;C1
J1;82;B66_L2_N;D1
J1;83;B66_L7_N;B1
J1;84;GND;---
J1;85;GND;---
J1;86;B66_L12_P;C3
J1;87;B66_L9_P;B3
J1;88;B66_L12_N;C2
J1;89;B66_L9_N;A3
J1;90;VCCO_66;---
J1;91;PL_1V8;---
J1;92;B66_L11_N;C4
J1;93;B66_L10_P;B4
J1;94;B66_L11_P;D4
J1;95;B66_L10_N;A4
J1;96;GND;---
J1;97;GND;---
J1;98;B66_L8_P;A2
J1;99;B66_L21_P;A7
J1;100;B66_L8_N;A1
J1;101;B66_L21_N;A6
J1;102;GND;---
J1;103;GND;---
J1;104;B66_L19_N;A5
J1;105;B66_L23_P;A9
J1;106;B66_L19_P;B5
J1;107;B66_L23_N;A8
J1;108;VREF_66;G9
J1;109;GND;---
J1;110;B66_L3_N;E2
J1;111;B66_L22_N;B8
J1;112;B66_L3_P;F2
J1;113;B66_L22_P;C8
J1;114;GND;---
J1;115;GND;---
J1;116;B66_L13_N;D6
J1;117;B66_L20_N;B6
J1;118;B66_L13_P;D7
J1;119;B66_L20_P;C6
J1;120;VCCO_66;---
J1;121;PL_1V8;---
J1;122;B66_L17_N;E8
J1;123;B66_L18_N;D9
J1;124;B66_L17_P;F8
J1;125;B66_L18_P;E9
J1;126;GND;---
J1;127;GND;---
J1;128;B66_L4_N;F3
J1;129;B66_L16_P;G8
J1;130;B66_L4_P;G3
J1;131;B66_L16_N;F7
J1;132;GND;---
J1;133;GND;---
J1;134;B66_L15_N;F6
J1;135;B66_L6_N;F5
J1;136;B66_L15_P;G6
J1;137;B66_L6_P;G5
J1;138;GND;---
J1;139;GND;---
J1;140;B66_L5_P;E4
J1;141;B66_T3;C7
J1;142;B66_L5_N;E3
J1;143;B66_T2;E7
J1;144;GND;---
J1;145;B66_T1;D2
J1;146;B66_L14_N;D5
J1;147;B66_T0;G4
J1;148;B66_L14_P;E5
J1;149;GND;---
J1;150;GND;---
J1;151;PL_DCIN;---
J1;152;GND;---
J1;153;PL_DCIN;---
J1;154;GND;---
J1;155;PL_DCIN;---
J1;156;GND;---
J1;157;PL_DCIN;---
J1;158;GND;---
J1;159;PL_DCIN;---
J1;160;GND;---
J2;1;CLK0_N;--
J2;2;GND;---
J2;3;CLK0_P;--
J2;4;CLKIN_P;--
J2;5;GND;---
J2;6;CLKIN_N;--
J2;7;NetJ2_7;--
J2;8;GND;---
J2;9;NetJ2_9;--
J2;10;B505_CLK1_P;E21
J2;11;GND;---
J2;12;B505_CLK1_N;E22
J2;13;NetJ2_13;--
J2;14;GND;---
J2;15;NetJ2_15;--
J2;16;B505_CLK0_P;F23
J2;17;GND;---
J2;18;B505_CLK0_N;F24
J2;19;NetJ2_19;--
J2;20;GND;---
J2;21;NetJ2_21;--
J2;22;NetJ2_22;--
J2;23;GND;---
J2;24;NetJ2_24;--
J2;25;NetJ2_25;--
J2;26;GND;---
J2;27;NetJ2_27;--
J2;28;NetJ2_28;--
J2;29;GND;---
J2;30;NetJ2_30;--
J2;31;NetJ2_31;--
J2;32;GND;---
J2;33;NetJ2_33;--
J2;34;NetJ2_34;--
J2;35;GND;---
J2;36;NetJ2_36;--
J2;37;NetJ2_37;--
J2;38;GND;---
J2;39;NetJ2_39;--
J2;40;NetJ2_40;--
J2;41;GND;---
J2;42;NetJ2_42;--
J2;43;NetJ2_43;--
J2;44;GND;---
J2;45;NetJ2_45;--
J2;46;NetJ2_46;--
J2;47;GND;---
J2;48;NetJ2_48;--
J2;49;B505_TX3_N;B24
J2;50;GND;---
J2;51;B505_TX3_P;B23
J2;52;B505_RX3_N;A26
J2;53;GND;---
J2;54;B505_RX3_P;A25
J2;55;B505_TX2_N;C26
J2;56;GND;---
J2;57;B505_TX2_P;C25
J2;58;B505_RX2_N;B28
J2;59;GND;---
J2;60;B505_RX2_P;B27
J2;61;B505_TX1_N;D24
J2;62;GND;---
J2;63;B505_TX1_P;D23
J2;64;B505_RX1_N;D28
J2;65;GND;---
J2;66;B505_RX1_P;D27
J2;67;B505_TX0_N;E26
J2;68;GND;---
J2;69;B505_TX0_P;E25
J2;70;B505_RX0_N;F28
